# Depth, Fanout, Number of devices, Runtime (s)

1, 1, 2, .00001814
2, 1, 3, .00003064
3, 1, 4, .00004229
4, 1, 5, .00005447
5, 1, 6, .00006610
6, 1, 7, .00007836
7, 1, 8, .00008760
8, 1, 9, .00009790
9, 1, 10, .00010792
10, 1, 11, .00011947
12, 1, 13, .00014000
14, 1, 15, .00016090
16, 1, 17, .00018160

1, 2, 3, .00001970
2, 2, 7, .00003331
3, 2, 15, .00005071
4, 2, 31, .00005655
5, 2, 63, .00006919
6, 2, 127, .00008060
7, 2, 255, .00009536
8, 2, 511, .00010492
9, 2, 1023, .00011720
10, 2, 2047, .00013498
12, 2, 8191, .00016118
14, 2, 32767, .00027978
16, 2, 131071, .00083042

1, 3, 4, .00002136
2, 3, 13, .00003572
3, 3, 40, .00004824
4, 3, 121, .00006359
5, 3, 364, .00007644
6, 3, 1093, .00008994
7, 3, 3280, .00010451
8, 3, 9841, .00012510
9, 3, 29524, .00022193
10, 3, 88573, .00046993
12, 3, 797161, .00461958
14, 3, 7174453, .04433763

1, 4, 5, .00002291
2, 4, 21, .00003749
3, 4, 85, .00005399
4, 4, 341, .00006858
5, 4, 1365, .00008428
6, 4, 5461, .00010016
7, 4, 21845, .00014652
8, 4, 87381, .00042735
9, 4, 349525, .00161119
10, 4, 1398101, .00934113
12, 4, 22369621, .12069960

1, 5, 6, .00002422
2, 5, 31, .00004079
3, 5, 156, .00005688
4, 5, 781, .00007443
5, 5, 3906, .00009227
6, 5, 19531, .00013889
7, 5, 97656, .00048406
8, 5, 488281, .00251037
9, 5, 2441406, .01430992
10, 5, 12207031, .06282400

1, 6, 7, .00003147
2, 6, 43, .00004342
3, 6, 259, .00006220
4, 6, 1555, .00008014
5, 6, 9331, .00010668
6, 6, 55987, .00023170
7, 6, 335923, .00145228
8, 6, 2015539, .01019747
9, 6, 12093235, .05807164

1, 7, 8, .00002738
2, 7, 57, .00004596
3, 7, 400, .00006607
4, 7, 2801, .00008738
5, 7, 19608, .00013192
6, 7, 137257, .00058574
7, 7, 960800, .00483547
8, 7, 6725601, .03635042

1, 8, 9, .00002921
2, 8, 73, .00005450
3, 8, 585, .00007711
4, 8, 4681, .00009933
5, 8, 37449, .00017664
6, 8, 299593, .00117797
7, 8, 2396745, .01192983
8, 8, 19173961, .09374509

1, 9, 10, .00003046
2, 9, 91, .00005744
3, 9, 820, .00008084
4, 9, 7381, .00010880
5, 9, 66430, .00026400
6, 9, 597871, .00277653
7, 9, 5380840, .02624000

1, 10, 11, .00003348
2, 10, 111, .00006096
3, 10, 1111, .00008570
4, 10, 11111, .00011939
5, 10, 111111, .00038962
6, 10, 1111111, .00514172
7, 10, 11111111, .05312055

1, 12, 13, .00004208
2, 12, 157, .00007234
3, 12, 1885, .00009442
4, 12, 22621, .00015599
5, 12, 271453, .00090352
6, 12, 3257437, .01347785

1, 14, 15, .00004634
2, 14, 211, .00007420
3, 14, 2955, .00010537
4, 14, 41371, .00021528
5, 14, 579195, .00282195
6, 14, 8108731, .03846351

1, 16, 17, .00004802
2, 16, 273, .00008424
3, 16, 4369, .00011822
4, 16, 69905, .00028275
5, 16, 1118481, .00531869
6, 16, 17895697, .09101195

